date,symbol,sales
12/13/2010,AAPL,45.952858
12/14/2010,AAPL,45.75571443
12/15/2010,AAPL,45.76571271
12/16/2010,AAPL,45.89285657
12/17/2010,AAPL,45.80142971
12/20/2010,AAPL,46.02999871
12/21/2010,AAPL,46.31428529
12/22/2010,AAPL,46.45142743
12/23/2010,AAPL,46.22857286
12/27/2010,AAPL,46.38285829
12/28/2010,AAPL,46.49571614
12/29/2010,AAPL,46.47000129
12/30/2010,AAPL,46.23714443
12/31/2010,AAPL,46.08000186
1/3/2011,AAPL,47.08142857
1/4/2011,AAPL,47.32714457
1/5/2011,AAPL,47.71428686
1/6/2011,AAPL,47.67571257
1/7/2011,AAPL,48.01714329
1/10/2011,AAPL,48.92142871
1/11/2011,AAPL,48.80571371
1/12/2011,AAPL,49.202858
1/13/2011,AAPL,49.38285829
1/14/2011,AAPL,49.782856
1/18/2011,AAPL,48.66428757
1/19/2011,AAPL,48.405716
1/20/2011,AAPL,47.52571486
1/21/2011,AAPL,46.67428586
1/24/2011,AAPL,48.20714186
1/25/2011,AAPL,48.77142714
1/26/2011,AAPL,49.12142943
1/27/2011,AAPL,49.02999871
1/28/2011,AAPL,48.014286
1/31/2011,AAPL,48.47428514
2/1/2011,AAPL,49.29000086
2/2/2011,AAPL,49.188572
2/3/2011,AAPL,49.06285857
2/4/2011,AAPL,49.5
2/7/2011,AAPL,50.26857
2/8/2011,AAPL,50.74285886
2/9/2011,AAPL,51.16571429
2/10/2011,AAPL,50.648571
2/11/2011,AAPL,50.97857286
2/14/2011,AAPL,51.311428
2/15/2011,AAPL,51.41428757
2/16/2011,AAPL,51.87571329
2/17/2011,AAPL,51.18571471
2/18/2011,AAPL,50.08000186
2/22/2011,AAPL,48.37285614
2/23/2011,AAPL,48.945713
2/24/2011,AAPL,48.98285671
2/25/2011,AAPL,49.73714443
2/28/2011,AAPL,50.45857243
3/1/2011,AAPL,49.90142829
3/2/2011,AAPL,50.30285643
3/3/2011,AAPL,51.365715
3/4/2011,AAPL,51.42856986
3/7/2011,AAPL,50.76571271
3/8/2011,AAPL,50.82285686
3/9/2011,AAPL,50.35285571
3/10/2011,AAPL,49.52428443
3/11/2011,AAPL,50.28428643
3/14/2011,AAPL,50.50857157
3/15/2011,AAPL,49.34714129
3/16/2011,AAPL,47.14428714
3/17/2011,AAPL,47.80571371
3/18/2011,AAPL,47.23857114
3/21/2011,AAPL,48.47142786
3/22/2011,AAPL,48.74285886
3/23/2011,AAPL,48.45571514
3/24/2011,AAPL,49.28142929
3/25/2011,AAPL,50.22000129
3/28/2011,AAPL,50.06285857
3/29/2011,AAPL,50.13714214
3/30/2011,AAPL,49.804287
3/31/2011,AAPL,49.78714371
4/1/2011,AAPL,49.22285843
4/4/2011,AAPL,48.74142843
4/5/2011,AAPL,48.412857
4/6/2011,AAPL,48.29142757
4/7/2011,AAPL,48.297142
4/8/2011,AAPL,47.865715
4/11/2011,AAPL,47.25714114
4/12/2011,AAPL,47.485714
4/13/2011,AAPL,48.01857
4/14/2011,AAPL,47.48857114
4/15/2011,AAPL,46.77999871
4/18/2011,AAPL,47.40714257
4/19/2011,AAPL,48.26571271
4/20/2011,AAPL,48.91571429
4/21/2011,AAPL,50.09999843
4/25/2011,AAPL,50.43000029
4/26/2011,AAPL,50.06000143
4/27/2011,AAPL,50.02142714
4/28/2011,AAPL,49.53571314
4/29/2011,AAPL,50.01857
5/2/2011,AAPL,49.46857071
5/3/2011,AAPL,49.74285886
5/4/2011,AAPL,49.938572
5/5/2011,AAPL,49.53571314
5/6/2011,AAPL,49.52285771
5/9/2011,AAPL,49.65714257
5/10/2011,AAPL,49.92142871
5/11/2011,AAPL,49.60428614
5/12/2011,AAPL,49.50999829
5/13/2011,AAPL,48.64285657
5/16/2011,AAPL,47.61428457
5/17/2011,AAPL,48.02000043
5/18/2011,AAPL,48.55285643
5/19/2011,AAPL,48.64714429
5/20/2011,AAPL,47.88857271
5/23/2011,AAPL,47.77142714
5/24/2011,AAPL,47.45571514
5/25/2011,AAPL,48.11142729
5/26/2011,AAPL,47.85714343
5/27/2011,AAPL,48.20142743
5/31/2011,AAPL,49.68999857
6/1/2011,AAPL,49.35857014
6/2/2011,AAPL,49.44285586
