,date,symbol,sales
324,4/15/2011,AAPL,9.0
325,4/18/2011,AAPL,9.0
326,4/19/2011,AAPL,9.0
327,4/20/2011,AAPL,9.0
328,4/21/2011,AAPL,10.0
329,4/25/2011,AAPL,10.0
330,4/26/2011,AAPL,10.0
331,4/27/2011,AAPL,10.0
332,4/28/2011,AAPL,9.0
333,4/29/2011,AAPL,10.0
334,5/2/2011,AAPL,9.0
335,5/3/2011,AAPL,9.0
336,5/4/2011,AAPL,9.0
337,5/5/2011,AAPL,9.0
338,5/6/2011,AAPL,9.0
339,5/9/2011,AAPL,9.0
340,5/10/2011,AAPL,9.0
341,5/11/2011,AAPL,9.0
342,5/12/2011,AAPL,9.0
343,5/13/2011,AAPL,9.0
344,5/16/2011,AAPL,9.0
345,5/17/2011,AAPL,9.0
346,5/18/2011,AAPL,9.0
347,5/19/2011,AAPL,9.0
348,5/20/2011,AAPL,9.0
349,5/23/2011,AAPL,9.0
350,5/24/2011,AAPL,9.0
351,5/25/2011,AAPL,9.0
352,5/26/2011,AAPL,9.0
353,5/27/2011,AAPL,9.0
354,5/31/2011,AAPL,9.0
355,6/1/2011,AAPL,9.0
356,6/2/2011,AAPL,9.0
357,6/3/2011,AAPL,9.0
358,6/6/2011,AAPL,9.0
359,6/7/2011,AAPL,9.0
360,6/8/2011,AAPL,9.0
361,6/9/2011,AAPL,9.0
362,6/10/2011,AAPL,9.0
363,6/13/2011,AAPL,9.0
364,6/14/2011,AAPL,9.0
365,6/15/2011,AAPL,9.0
366,6/16/2011,AAPL,9.0
367,6/17/2011,AAPL,9.0
368,6/20/2011,AAPL,9.0
369,6/21/2011,AAPL,9.0
370,6/22/2011,AAPL,9.0
371,6/23/2011,AAPL,9.0
372,6/24/2011,AAPL,9.0
373,6/27/2011,AAPL,9.0
374,6/28/2011,AAPL,9.0
375,6/29/2011,AAPL,9.0
376,6/30/2011,AAPL,9.0
377,7/1/2011,AAPL,9.0
378,7/5/2011,AAPL,9.0
379,7/6/2011,AAPL,10.0
380,7/7/2011,AAPL,10.0
381,7/8/2011,AAPL,10.0
382,7/11/2011,AAPL,10.0
383,7/12/2011,AAPL,10.0
384,7/13/2011,AAPL,10.0
385,7/14/2011,AAPL,10.0
386,7/15/2011,AAPL,10.0
387,7/18/2011,AAPL,10.0
388,7/19/2011,AAPL,10.0
389,7/20/2011,AAPL,11.0
390,7/21/2011,AAPL,11.0
391,7/22/2011,AAPL,11.0
392,7/25/2011,AAPL,11.0
393,7/26/2011,AAPL,11.0
394,7/27/2011,AAPL,11.0
395,7/28/2011,AAPL,11.0
396,7/29/2011,AAPL,11.0
397,8/1/2011,AAPL,11.0
398,8/2/2011,AAPL,11.0
399,8/3/2011,AAPL,11.0
400,8/4/2011,AAPL,10.0
401,8/5/2011,AAPL,10.0
402,8/8/2011,AAPL,10.0
403,8/9/2011,AAPL,10.0
404,8/10/2011,AAPL,10.0
405,8/11/2011,AAPL,10.0
406,8/12/2011,AAPL,10.0
407,8/15/2011,AAPL,10.0
408,8/16/2011,AAPL,10.0
409,8/17/2011,AAPL,10.0
410,8/18/2011,AAPL,10.0
411,8/19/2011,AAPL,10.0
412,8/22/2011,AAPL,10.0
413,8/23/2011,AAPL,10.0
414,8/24/2011,AAPL,10.0
415,8/25/2011,AAPL,10.0
416,8/26/2011,AAPL,10.0
417,8/29/2011,AAPL,11.0
418,8/30/2011,AAPL,11.0
419,8/31/2011,AAPL,10.0
420,9/1/2011,AAPL,10.0
421,9/2/2011,AAPL,10.0
422,9/6/2011,AAPL,10.0
423,9/7/2011,AAPL,10.0
424,9/8/2011,AAPL,10.0
425,9/9/2011,AAPL,10.0
426,9/12/2011,AAPL,10.0
427,9/13/2011,AAPL,10.0
428,9/14/2011,AAPL,11.0
429,9/15/2011,AAPL,11.0
430,9/16/2011,AAPL,11.0
431,9/19/2011,AAPL,11.0
432,9/20/2011,AAPL,11.0
433,9/21/2011,AAPL,11.0
434,9/22/2011,AAPL,11.0
435,9/23/2011,AAPL,11.0
436,9/26/2011,AAPL,11.0
437,9/27/2011,AAPL,11.0
438,9/28/2011,AAPL,11.0
439,9/29/2011,AAPL,11.0
440,9/30/2011,AAPL,10.0
441,10/3/2011,AAPL,10.0
442,10/4/2011,AAPL,10.0
443,10/5/2011,AAPL,10.0
444,10/6/2011,AAPL,10.0
445,10/7/2011,AAPL,10.0
446,10/10/2011,AAPL,11.0
447,10/11/2011,AAPL,11.0
448,10/12/2011,AAPL,11.0
449,10/13/2011,AAPL,11.0
450,10/14/2011,AAPL,12.0
451,10/17/2011,AAPL,11.0
452,10/18/2011,AAPL,12.0
453,10/19/2011,AAPL,11.0
454,10/20/2011,AAPL,11.0
455,10/21/2011,AAPL,11.0
456,10/24/2011,AAPL,11.0
457,10/25/2011,AAPL,11.0
458,10/26/2011,AAPL,11.0
459,10/27/2011,AAPL,11.0
460,10/28/2011,AAPL,11.0
461,10/31/2011,AAPL,11.0
462,11/1/2011,AAPL,11.0
463,11/2/2011,AAPL,11.0
464,11/3/2011,AAPL,11.0
465,11/4/2011,AAPL,11.0
466,11/7/2011,AAPL,11.0
467,11/8/2011,AAPL,11.0
468,11/9/2011,AAPL,11.0
469,11/10/2011,AAPL,11.0
470,11/11/2011,AAPL,10.0
471,11/14/2011,AAPL,10.0
472,11/15/2011,AAPL,11.0
473,11/16/2011,AAPL,10.0
474,11/17/2011,AAPL,10.0
475,11/18/2011,AAPL,10.0
476,11/21/2011,AAPL,10.0
477,11/22/2011,AAPL,10.0
478,11/23/2011,AAPL,10.0
479,11/25/2011,AAPL,10.0
480,11/28/2011,AAPL,10.0
481,11/29/2011,AAPL,10.0
482,11/30/2011,AAPL,10.0
483,12/1/2011,AAPL,11.0
484,12/2/2011,AAPL,11.0
485,12/5/2011,AAPL,11.0
486,12/6/2011,AAPL,11.0
487,12/7/2011,AAPL,11.0
488,12/8/2011,AAPL,11.0
489,12/9/2011,AAPL,11.0
490,12/12/2011,AAPL,11.0
491,12/13/2011,AAPL,11.0
492,12/14/2011,AAPL,10.0
493,12/15/2011,AAPL,10.0
494,12/16/2011,AAPL,10.0
495,12/19/2011,AAPL,10.0
496,12/20/2011,AAPL,11.0
497,12/21/2011,AAPL,11.0
498,12/22/2011,AAPL,11.0
499,12/23/2011,AAPL,11.0
500,12/27/2011,AAPL,11.0
501,12/28/2011,AAPL,11.0
502,12/29/2011,AAPL,11.0
503,12/30/2011,AAPL,11.0
504,1/3/2012,AAPL,11.0
505,1/4/2012,AAPL,11.0
506,1/5/2012,AAPL,11.0
507,1/6/2012,AAPL,12.0
508,1/9/2012,AAPL,12.0
509,1/10/2012,AAPL,12.0
510,1/11/2012,AAPL,12.0
511,1/12/2012,AAPL,12.0
512,1/13/2012,AAPL,11.0
513,1/17/2012,AAPL,12.0
514,1/18/2012,AAPL,12.0
515,1/19/2012,AAPL,12.0
516,1/20/2012,AAPL,12.0
517,1/23/2012,AAPL,12.0
518,1/24/2012,AAPL,12.0
519,1/25/2012,AAPL,12.0
520,1/26/2012,AAPL,12.0
521,1/27/2012,AAPL,12.0
522,1/30/2012,AAPL,12.0
523,1/31/2012,AAPL,13.0
524,2/1/2012,AAPL,13.0
525,2/2/2012,AAPL,13.0
526,2/3/2012,AAPL,13.0
527,2/6/2012,AAPL,13.0
528,2/7/2012,AAPL,13.0
529,2/8/2012,AAPL,13.0
530,2/9/2012,AAPL,14.0
531,2/10/2012,AAPL,14.0
532,2/13/2012,AAPL,14.0
533,2/14/2012,AAPL,14.0
534,2/15/2012,AAPL,14.0
535,2/16/2012,AAPL,14.0
536,2/17/2012,AAPL,14.0
537,2/21/2012,AAPL,14.0
538,2/22/2012,AAPL,14.0
539,2/23/2012,AAPL,14.0
540,2/24/2012,AAPL,14.0
541,2/27/2012,AAPL,15.0
542,2/28/2012,AAPL,15.0
543,2/29/2012,AAPL,15.0
544,3/1/2012,AAPL,15.0
545,3/2/2012,AAPL,15.0
546,3/5/2012,AAPL,15.0
547,3/6/2012,AAPL,15.0
548,3/7/2012,AAPL,15.0
549,3/8/2012,AAPL,15.0
550,3/9/2012,AAPL,15.0
551,3/12/2012,AAPL,15.0
552,3/13/2012,AAPL,16.0
553,3/14/2012,AAPL,16.0
554,3/15/2012,AAPL,16.0
555,3/16/2012,AAPL,16.0
556,3/19/2012,AAPL,17.0
557,3/20/2012,AAPL,17.0
558,3/21/2012,AAPL,17.0
559,3/22/2012,AAPL,17.0
560,3/23/2012,AAPL,17.0
561,3/26/2012,AAPL,17.0
562,3/27/2012,AAPL,17.0
563,3/28/2012,AAPL,17.0
564,3/29/2012,AAPL,17.0
565,3/30/2012,AAPL,17.0
566,4/2/2012,AAPL,17.0
567,4/3/2012,AAPL,17.0
568,4/4/2012,AAPL,17.0
569,4/5/2012,AAPL,18.0
570,4/9/2012,AAPL,18.0
571,4/10/2012,AAPL,17.0
572,4/11/2012,AAPL,17.0
573,4/12/2012,AAPL,17.0
574,4/13/2012,AAPL,17.0
575,4/16/2012,AAPL,16.0
576,4/17/2012,AAPL,17.0
577,4/18/2012,AAPL,17.0
578,4/19/2012,AAPL,16.0
579,4/20/2012,AAPL,16.0
